country,geo,year,month,keyword,trend_score
Germany,DE,2019,4,BYD,4.25
Germany,DE,2019,4,EV charging,8.75
Germany,DE,2019,4,Tesla,32.5
Germany,DE,2019,4,electric car,0.25
Germany,DE,2019,4,electric vehicle,69.75
Germany,DE,2019,5,BYD,3.25
Germany,DE,2019,5,EV charging,0.0
Germany,DE,2019,5,Tesla,35.75
Germany,DE,2019,5,electric car,0.0
Germany,DE,2019,5,electric vehicle,70.0
Germany,DE,2019,6,BYD,3.0
Germany,DE,2019,6,EV charging,6.2
Germany,DE,2019,6,Tesla,32.4
Germany,DE,2019,6,electric car,0.0
Germany,DE,2019,6,electric vehicle,68.6
Germany,DE,2019,7,BYD,3.0
Germany,DE,2019,7,EV charging,0.0
Germany,DE,2019,7,Tesla,33.5
Germany,DE,2019,7,electric car,0.0
Germany,DE,2019,7,electric vehicle,65.5
Germany,DE,2019,8,BYD,3.0
Germany,DE,2019,8,EV charging,0.0
Germany,DE,2019,8,Tesla,28.5
Germany,DE,2019,8,electric car,0.0
Germany,DE,2019,8,electric vehicle,54.25
Germany,DE,2019,9,BYD,3.2
Germany,DE,2019,9,EV charging,0.0
Germany,DE,2019,9,Tesla,30.6
